21:00-23-05-20 203.15 207.64000000
09:00-24-05-20 208.58 206.00000000
07:00-25-05-20 201.76 202.39000000
06:00-26-05-20 204.8 202.31000000
19:00-27-05-20 203.22 208.29000000
08:00-28-05-20 206.39 209.86000000
00:00-30-05-20 219.79 228.01000000
18:00-30-05-20 237.12 246.13000000
11:00-31-05-20 237.37 233.71000000
08:00-01-06-20 237.81 238.90000000
12:00-02-06-20 234.33 234.34000000
16:00-04-06-20 241.76 241.76000000
21:00-04-06-20 243.56 244.40000000
01:00-05-06-20 243.09 243.88000000
10:00-05-06-20 243.15 241.98000000
07:00-07-06-20 241.81 238.89000000
19:00-08-06-20 243.26 246.40000000
02:00-09-06-20 243.06 243.21000000
13:00-09-06-20 243.32 243.00000000
17:00-09-06-20 244.37 244.37000000
06:00-10-06-20 243.58 243.22000000
14:00-10-06-20 245.3 245.30000000
09:00-11-06-20 246.16 240.85000000
02:00-13-06-20 236.83 236.41000000
09:00-13-06-20 235.49 236.33000000
10:00-13-06-20 237.76 237.76000000
02:00-14-06-20 236.5 234.54000000
01:00-17-06-20 232.68 232.73000000
09:00-18-06-20 233.27 231.74000000
05:00-20-06-20 230.08 228.59000000
11:00-21-06-20 229.3 230.61000000
19:00-21-06-20 229.4 228.04000000
21:00-21-06-20 233.35 233.35000000
04:00-22-06-20 235.62 235.62000000
00:00-24-06-20 242.11 247.96000000
06:00-24-06-20 242.41 238.63000000
08:00-26-06-20 231.28 231.57000000
15:00-26-06-20 230.06 230.14000000
04:00-28-06-20 227.56 221.66000000
06:00-29-06-20 227.1 223.41000000
12:00-30-06-20 225.77 226.03000000
07:00-02-07-20 227.61 228.19000000
10:00-02-07-20 230.52 228.96000000
00:00-04-07-20 224.87 226.03000000
13:00-04-07-20 229.93 229.93000000
05:00-05-07-20 228.9 224.47000000
02:00-06-07-20 228.05 232.57000000
03:00-06-07-20 232.8 232.80000000
22:00-07-07-20 239.31 241.47000000
03:00-08-07-20 239.19 240.76000000
11:00-09-07-20 245.68 239.87000000
06:00-11-07-20 240.8 238.70000000
19:00-11-07-20 239.09 239.19000000
08:00-12-07-20 240.44 240.73000000
10:00-12-07-20 237.6 237.80000000
16:00-13-07-20 242.79 239.08000000
05:00-15-07-20 241.46 239.23000000
13:00-16-07-20 235.3 233.30000000
17:00-17-07-20 233.33 232.73000000
07:00-19-07-20 233.04 233.74000000
01:00-20-07-20 235.47 239.19000000
17:00-20-07-20 237.6 235.93000000
15:00-22-07-20 241.77 245.17000000
12:00-23-07-20 264.25 279.76000000
13:00-24-07-20 275.3 279.01000000
13:00-25-07-20 280.56 296.67000000
03:00-26-07-20 302.99 311.59000000
21:00-26-07-20 304.08 323.77000000
01:00-28-07-20 323.95 317.02000000
15:00-28-07-20 315.85 318.33000000
01:00-29-07-20 313.98 318.07000000
22:00-29-07-20 321.11 315.77000000
02:00-31-07-20 324.65 337.93000000
00:00-01-08-20 342.46 353.82000000
13:00-01-08-20 353.52 373.25000000
08:00-02-08-20 370.32 359.21000000
14:00-02-08-20 384.73 385.30000000
19:00-02-08-20 373.51 372.42000000
21:00-03-08-20 381.2 397.82000000
09:00-04-08-20 393.23 383.97000000
01:00-05-08-20 388.47 391.40000000
12:00-06-08-20 390.04 398.23000000
16:00-06-08-20 396.76 396.31000000
10:00-09-08-20 391.61 385.51000000
11:00-10-08-20 396.19 396.79000000
13:00-10-08-20 394.13 397.13000000
03:00-11-08-20 394.71 390.98000000
11:00-13-08-20 386.31 392.59000000
15:00-13-08-20 392.05 393.77000000
12:00-14-08-20 423.76 441.08000000
10:00-15-08-20 439.55 432.55000000
23:00-16-08-20 430.5 425.66000000
00:00-18-08-20 429.81 428.32000000
19:00-19-08-20 421.95 407.46000000
06:00-21-08-20 409.16 408.53000000
06:00-23-08-20 393.31 386.45000000
22:00-23-08-20 391.81 391.18000000
19:00-24-08-20 393.24 407.68000000
03:00-25-08-20 405.39 395.30000000
01:00-27-08-20 388.64 381.59000000
07:00-27-08-20 384.05 382.00000000
09:00-27-08-20 388.5 388.50000000
20:00-27-08-20 378.08 383.85000000
02:00-29-08-20 387.39 399.20000000
12:00-29-08-20 398.74 402.54000000
09:00-30-08-20 400.61 413.94000000
08:00-31-08-20 425.05 436.39000000
23:00-31-08-20 432.11 443.64000000
07:00-02-09-20 481.45 441.88000000
03:00-03-09-20 427.63 436.89000000
01:00-04-09-20 424.68 388.11000000
22:00-05-09-20 372.72 331.20000000
04:00-07-09-20 353.02 345.48000000
05:00-08-09-20 352.63 336.59000000
21:00-08-09-20 334.66 339.63000000
02:00-09-09-20 333.0 337.24000000
09:00-10-09-20 345.41 376.18000000
00:00-11-09-20 367.43 357.51000000
11:00-12-09-20 367.37 373.20000000
